	MST107_MiFiU_tag45	MST107_MiFiU_tag46	MST109_MiFiU_tag47	MST109_MiFiU_tag48	MST110_MiFiU_tag49	MST110_MiFiU_tag50	MST221_MiFiU_tag51	MST221_MiFiU_tag52	MST235_MiFiU_tag53	MST235_MiFiU_tag54	NC_MiFiU_tag55	PCMock_MiFiU_tag56
seq121	0	0	0	0	0	0	0	0	298	349	0	0
seq122	0	0	0	0	0	0	454	192	0	0	0	0
seq123	0	7	36	148	328	40	50	21	0	0	0	0
seq124	0	168	100	75	0	0	0	8	144	134	0	0
seq125	0	0	0	0	0	0	0	0	0	628	0	0
seq126	0	0	0	118	0	0	37	0	383	78	0	0
seq127	0	7	38	32	0	0	83	18	21	416	0	0
seq128	0	0	311	0	298	0	0	0	0	0	0	0
seq129	0	0	77	0	0	0	0	0	259	258	0	0
seq130	0	0	0	0	0	0	0	0	0	0	0	564
seq131	0	0	0	0	558	0	0	0	0	0	0	0
seq132	0	0	0	0	553	0	0	0	0	0	0	0
seq133	58	109	220	163	0	0	0	0	0	0	0	0
seq134	0	0	0	0	0	0	0	0	463	78	0	0
seq135	178	0	223	0	72	0	62	0	0	0	0	0
seq136	0	0	69	458	0	0	0	0	0	0	0	0
seq137	156	0	173	0	15	0	16	0	150	0	0	0
seq138	95	13	106	136	124	0	0	0	0	26	0	0
seq139	0	0	0	0	0	0	0	0	361	139	0	0
seq140	0	0	145	349	0	0	0	0	0	0	0	0
seq141	0	28	0	0	0	0	0	0	461	0	0	0
seq142	0	0	8	12	134	0	54	0	136	144	0	0
seq143	0	48	279	118	29	0	0	0	0	0	0	0
seq144	0	0	8	117	75	13	0	0	173	79	0	0
seq145	0	0	231	0	54	0	178	0	0	0	0	0
seq146	0	0	63	33	360	0	0	2	0	0	0	0
seq147	14	8	154	242	36	0	4	0	0	0	0	0
seq148	0	5	0	17	0	0	0	0	363	71	0	0
seq149	0	0	0	118	0	0	136	0	158	43	0	0
seq150	0	0	256	0	21	0	169	0	0	0	0	0
seq151	0	0	0	0	0	0	0	0	395	41	0	0
seq152	0	9	0	17	0	0	0	0	289	119	0	0
seq153	0	0	0	0	399	34	0	0	0	0	0	0
seq154	0	0	205	192	34	0	0	0	0	0	0	0
seq155	0	0	0	0	430	0	0	0	0	0	0	0
seq156	87	20	269	51	0	0	0	0	0	0	0	0
seq157	0	0	56	0	318	0	53	0	0	0	0	0
seq158	0	0	0	0	421	0	0	0	0	0	0	0
seq159	28	52	47	258	34	0	0	0	0	0	0	0
seq160	0	0	40	0	377	0	0	0	0	0	0	0
seq161	0	0	0	0	0	0	0	0	179	237	0	0
seq162	23	19	66	238	65	0	0	0	0	0	0	0
seq163	0	405	0	0	0	0	0	0	0	0	0	0
seq164	269	0	136	0	0	0	0	0	0	0	0	0
seq165	0	0	0	0	0	0	0	0	312	90	0	0
seq166	0	0	0	0	249	0	147	0	0	0	0	0
seq167	0	8	125	154	39	0	17	21	0	30	0	0
seq168	0	0	0	0	5	0	0	0	12	373	0	0
seq169	0	0	0	0	0	0	0	0	386	0	0	0
seq170	71	0	169	0	129	0	0	0	0	0	0	0
seq171	205	159	0	0	0	0	0	0	0	0	0	0
seq172	0	0	0	5	295	62	0	0	0	0	0	0
seq173	193	0	88	0	76	0	0	0	0	0	0	0
seq174	0	0	27	119	0	0	0	0	163	45	0	0
seq175	0	0	0	0	0	0	353	0	0	0	0	0
seq176	0	4	0	0	0	0	347	0	0	0	0	0
seq177	0	0	0	0	0	0	0	0	296	55	0	0
seq178	164	186	0	0	0	0	0	0	0	0	0	0
seq179	0	0	271	0	77	0	0	0	0	0	0	0
seq180	16	0	223	102	0	0	0	0	0	0	0	0
seq181	0	0	325	0	0	0	0	0	0	0	0	0
seq182	0	0	324	0	0	0	0	0	0	0	0	0
seq183	0	0	0	0	0	0	0	20	157	143	0	0
seq184	35	241	0	24	0	0	5	0	10	0	0	0
seq185	0	0	0	74	8	0	184	40	0	0	0	0
seq186	0	0	0	0	0	0	3	0	241	60	0	0
seq187	0	0	0	0	0	0	0	0	303	0	0	0
seq188	0	0	0	0	0	0	0	0	233	69	0	0
seq189	0	0	0	0	0	0	0	0	294	7	0	0
seq190	0	5	189	50	0	52	0	0	0	0	0	0
seq191	0	31	22	23	0	0	0	0	218	0	0	0
seq192	0	0	41	101	54	0	0	0	0	98	0	0
seq193	0	0	143	0	149	0	0	0	0	0	0	0
seq194	0	0	0	0	0	0	55	12	145	79	0	0
seq195	0	0	0	287	0	0	0	0	0	0	0	0
seq196	0	0	20	43	48	0	0	0	97	77	0	0
seq197	0	0	88	62	127	7	0	0	0	0	0	0
seq198	49	235	0	0	0	0	0	0	0	0	0	0
seq199	0	0	241	0	43	0	0	0	0	0	0	0
