	MST107_MiFiU_tag45	MST107_MiFiU_tag46	MST109_MiFiU_tag47	MST109_MiFiU_tag48	MST110_MiFiU_tag49	MST110_MiFiU_tag50	MST221_MiFiU_tag51	MST221_MiFiU_tag52	MST235_MiFiU_tag53	MST235_MiFiU_tag54	NC_MiFiU_tag55	PCMock_MiFiU_tag56
seq947	0	0	0	0	0	0	0	0	0	9	0	0
seq948	0	0	0	0	0	0	0	0	0	9	0	0
seq949	0	0	0	0	0	0	0	0	0	0	0	9
seq950	9	0	0	0	0	0	0	0	0	0	0	0
seq951	0	3	0	0	6	0	0	0	0	0	0	0
seq952	0	0	9	0	0	0	0	0	0	0	0	0
seq953	0	0	9	0	0	0	0	0	0	0	0	0
seq954	0	0	9	0	0	0	0	0	0	0	0	0
seq955	0	0	0	4	0	0	0	0	0	5	0	0
seq956	0	0	0	0	0	0	9	0	0	0	0	0
seq957	0	0	0	0	0	0	9	0	0	0	0	0
seq958	0	0	0	0	0	0	9	0	0	0	0	0
seq959	0	0	0	0	0	0	0	9	0	0	0	0
seq960	0	0	0	0	0	0	0	0	9	0	0	0
seq961	0	0	0	0	0	0	0	0	9	0	0	0
seq962	0	0	0	0	0	0	0	0	0	9	0	0
seq963	0	0	8	0	0	0	0	0	0	0	0	0
seq964	0	0	8	0	0	0	0	0	0	0	0	0
seq965	0	0	0	0	8	0	0	0	0	0	0	0
seq966	0	0	0	0	0	0	8	0	0	0	0	0
seq967	0	0	0	0	0	0	0	0	0	8	0	0
seq968	0	0	0	0	0	0	0	0	0	0	0	8
seq969	8	0	0	0	0	0	0	0	0	0	0	0
seq970	8	0	0	0	0	0	0	0	0	0	0	0
seq971	8	0	0	0	0	0	0	0	0	0	0	0
seq972	0	8	0	0	0	0	0	0	0	0	0	0
seq973	0	8	0	0	0	0	0	0	0	0	0	0
seq974	0	8	0	0	0	0	0	0	0	0	0	0
seq975	0	0	8	0	0	0	0	0	0	0	0	0
seq976	0	0	8	0	0	0	0	0	0	0	0	0
seq977	0	0	0	8	0	0	0	0	0	0	0	0
seq978	0	0	0	8	0	0	0	0	0	0	0	0
seq979	0	0	0	8	0	0	0	0	0	0	0	0
seq980	0	0	0	0	8	0	0	0	0	0	0	0
seq981	0	0	0	0	0	8	0	0	0	0	0	0
seq982	0	0	0	0	0	0	8	0	0	0	0	0
seq983	0	0	0	0	0	0	8	0	0	0	0	0
seq984	0	0	0	0	0	0	8	0	0	0	0	0
seq985	0	0	0	0	0	0	0	0	8	0	0	0
seq986	0	0	0	0	0	0	0	0	8	0	0	0
seq987	0	0	0	0	0	0	0	0	0	8	0	0
seq988	0	0	0	0	0	0	0	0	0	0	8	0
seq989	7	0	0	0	0	0	0	0	0	0	0	0
seq990	7	0	0	0	0	0	0	0	0	0	0	0
seq991	7	0	0	0	0	0	0	0	0	0	0	0
seq992	0	7	0	0	0	0	0	0	0	0	0	0
seq993	0	7	0	0	0	0	0	0	0	0	0	0
seq994	0	0	7	0	0	0	0	0	0	0	0	0
seq995	0	0	7	0	0	0	0	0	0	0	0	0
seq996	0	0	7	0	0	0	0	0	0	0	0	0
seq997	0	0	0	7	0	0	0	0	0	0	0	0
seq998	0	0	0	0	7	0	0	0	0	0	0	0
seq999	0	0	0	0	7	0	0	0	0	0	0	0
seq1000	0	0	0	0	7	0	0	0	0	0	0	0
seq1001	0	0	0	0	0	0	0	7	0	0	0	0
seq1002	0	0	0	0	0	0	0	0	7	0	0	0
seq1003	0	0	0	0	0	0	0	0	0	7	0	0
seq1004	0	4	0	3	0	0	0	0	0	0	0	0
seq1005	0	0	0	0	0	0	0	0	0	0	0	7
seq1006	7	0	0	0	0	0	0	0	0	0	0	0
seq1007	7	0	0	0	0	0	0	0	0	0	0	0
seq1008	7	0	0	0	0	0	0	0	0	0	0	0
seq1009	7	0	0	0	0	0	0	0	0	0	0	0
seq1010	7	0	0	0	0	0	0	0	0	0	0	0
seq1011	7	0	0	0	0	0	0	0	0	0	0	0
seq1012	0	7	0	0	0	0	0	0	0	0	0	0
seq1013	0	7	0	0	0	0	0	0	0	0	0	0
seq1014	0	7	0	0	0	0	0	0	0	0	0	0
seq1015	0	7	0	0	0	0	0	0	0	0	0	0
seq1016	0	0	7	0	0	0	0	0	0	0	0	0
seq1017	0	0	7	0	0	0	0	0	0	0	0	0
seq1018	0	0	7	0	0	0	0	0	0	0	0	0
seq1019	0	0	7	0	0	0	0	0	0	0	0	0
seq1020	0	0	7	0	0	0	0	0	0	0	0	0
seq1021	0	0	7	0	0	0	0	0	0	0	0	0
seq1022	0	0	7	0	0	0	0	0	0	0	0	0
seq1023	0	0	7	0	0	0	0	0	0	0	0	0
seq1024	0	0	0	7	0	0	0	0	0	0	0	0
seq1025	0	0	0	7	0	0	0	0	0	0	0	0
seq1026	0	0	0	7	0	0	0	0	0	0	0	0
seq1027	0	0	0	7	0	0	0	0	0	0	0	0
seq1028	0	0	0	0	7	0	0	0	0	0	0	0
seq1029	0	0	0	0	7	0	0	0	0	0	0	0
seq1030	0	0	0	0	7	0	0	0	0	0	0	0
seq1031	0	0	0	0	7	0	0	0	0	0	0	0
seq1032	0	0	0	0	0	0	7	0	0	0	0	0
seq1033	0	0	0	0	0	0	7	0	0	0	0	0
seq1034	0	0	0	0	0	0	7	0	0	0	0	0
seq1035	0	0	0	0	0	0	0	0	7	0	0	0
seq1036	0	0	0	0	0	0	0	0	7	0	0	0
seq1037	0	0	0	0	0	0	0	0	0	7	0	0
seq1038	0	0	0	0	0	0	0	0	0	7	0	0
seq1039	6	0	0	0	0	0	0	0	0	0	0	0
seq1040	6	0	0	0	0	0	0	0	0	0	0	0
seq1041	6	0	0	0	0	0	0	0	0	0	0	0
seq1042	6	0	0	0	0	0	0	0	0	0	0	0
seq1043	6	0	0	0	0	0	0	0	0	0	0	0
seq1044	6	0	0	0	0	0	0	0	0	0	0	0
seq1045	0	6	0	0	0	0	0	0	0	0	0	0
seq1046	0	0	6	0	0	0	0	0	0	0	0	0
seq1047	0	0	6	0	0	0	0	0	0	0	0	0
seq1048	0	0	6	0	0	0	0	0	0	0	0	0
seq1049	0	0	6	0	0	0	0	0	0	0	0	0
seq1050	0	0	6	0	0	0	0	0	0	0	0	0
seq1051	0	0	6	0	0	0	0	0	0	0	0	0
seq1052	0	0	6	0	0	0	0	0	0	0	0	0
seq1053	0	0	0	6	0	0	0	0	0	0	0	0
seq1054	0	0	0	0	6	0	0	0	0	0	0	0
seq1055	0	0	0	0	6	0	0	0	0	0	0	0
seq1056	0	0	0	0	0	0	6	0	0	0	0	0
seq1057	0	0	0	0	0	0	0	0	6	0	0	0
seq1058	0	0	0	0	0	0	0	0	0	6	0	0
seq1059	0	0	0	0	0	0	0	0	0	6	0	0
seq1060	0	0	0	0	0	0	0	6	0	0	0	0
seq1061	6	0	0	0	0	0	0	0	0	0	0	0
seq1062	6	0	0	0	0	0	0	0	0	0	0	0
seq1063	0	6	0	0	0	0	0	0	0	0	0	0
seq1064	0	6	0	0	0	0	0	0	0	0	0	0
seq1065	0	6	0	0	0	0	0	0	0	0	0	0
seq1066	0	6	0	0	0	0	0	0	0	0	0	0
seq1067	0	6	0	0	0	0	0	0	0	0	0	0
seq1068	0	6	0	0	0	0	0	0	0	0	0	0
seq1069	0	6	0	0	0	0	0	0	0	0	0	0
seq1070	0	6	0	0	0	0	0	0	0	0	0	0
seq1071	0	6	0	0	0	0	0	0	0	0	0	0
seq1072	0	6	0	0	0	0	0	0	0	0	0	0
seq1073	0	0	6	0	0	0	0	0	0	0	0	0
seq1074	0	0	6	0	0	0	0	0	0	0	0	0
seq1075	0	0	6	0	0	0	0	0	0	0	0	0
seq1076	0	0	0	6	0	0	0	0	0	0	0	0
seq1077	0	0	0	6	0	0	0	0	0	0	0	0
seq1078	0	0	0	0	6	0	0	0	0	0	0	0
seq1079	0	0	0	0	6	0	0	0	0	0	0	0
seq1080	0	0	0	0	0	0	6	0	0	0	0	0
seq1081	0	0	0	0	0	0	6	0	0	0	0	0
seq1082	0	0	0	0	0	0	0	0	6	0	0	0
seq1083	0	0	0	0	0	0	0	0	6	0	0	0
seq1084	0	0	0	0	0	0	0	0	6	0	0	0
seq1085	0	0	0	0	0	0	0	0	6	0	0	0
seq1086	0	0	0	0	0	0	0	0	6	0	0	0
seq1087	0	0	0	0	0	0	0	0	0	6	0	0
seq1088	0	0	0	0	0	0	0	0	0	6	0	0
seq1089	5	0	0	0	0	0	0	0	0	0	0	0
seq1090	5	0	0	0	0	0	0	0	0	0	0	0
seq1091	5	0	0	0	0	0	0	0	0	0	0	0
seq1092	0	5	0	0	0	0	0	0	0	0	0	0
seq1093	0	5	0	0	0	0	0	0	0	0	0	0
seq1094	0	0	5	0	0	0	0	0	0	0	0	0
seq1095	0	0	5	0	0	0	0	0	0	0	0	0
seq1096	0	0	5	0	0	0	0	0	0	0	0	0
seq1097	0	0	5	0	0	0	0	0	0	0	0	0
seq1098	0	0	0	5	0	0	0	0	0	0	0	0
seq1099	0	0	0	5	0	0	0	0	0	0	0	0
seq1100	0	0	0	5	0	0	0	0	0	0	0	0
seq1101	0	0	0	0	5	0	0	0	0	0	0	0
seq1102	0	0	0	0	5	0	0	0	0	0	0	0
seq1103	0	0	0	0	5	0	0	0	0	0	0	0
seq1104	0	0	0	0	0	0	0	5	0	0	0	0
seq1105	0	0	0	0	0	0	0	0	5	0	0	0
seq1106	0	0	0	0	0	0	0	0	0	0	5	0
seq1107	0	0	0	0	0	0	0	0	0	0	0	5
seq1108	0	5	0	0	0	0	0	0	0	0	0	0
seq1109	0	5	0	0	0	0	0	0	0	0	0	0
seq1110	0	5	0	0	0	0	0	0	0	0	0	0
seq1111	0	5	0	0	0	0	0	0	0	0	0	0
seq1112	0	0	5	0	0	0	0	0	0	0	0	0
seq1113	0	0	5	0	0	0	0	0	0	0	0	0
seq1114	0	0	5	0	0	0	0	0	0	0	0	0
seq1115	0	0	0	5	0	0	0	0	0	0	0	0
seq1116	0	0	0	5	0	0	0	0	0	0	0	0
seq1117	0	0	0	5	0	0	0	0	0	0	0	0
seq1118	0	0	0	5	0	0	0	0	0	0	0	0
seq1119	0	0	0	5	0	0	0	0	0	0	0	0
seq1120	0	0	0	0	5	0	0	0	0	0	0	0
seq1121	0	0	0	0	5	0	0	0	0	0	0	0
seq1122	0	0	0	0	5	0	0	0	0	0	0	0
seq1123	0	0	0	0	0	0	5	0	0	0	0	0
seq1124	0	0	0	0	0	0	5	0	0	0	0	0
seq1125	0	0	0	0	0	0	0	5	0	0	0	0
seq1126	0	0	0	0	0	0	0	0	5	0	0	0
seq1127	0	0	0	0	0	0	0	0	0	5	0	0
seq1128	0	0	0	0	0	0	0	0	0	5	0	0
seq1129	0	0	0	0	0	0	0	0	0	5	0	0
seq1130	4	0	0	0	0	0	0	0	0	0	0	0
seq1131	4	0	0	0	0	0	0	0	0	0	0	0
seq1132	4	0	0	0	0	0	0	0	0	0	0	0
seq1133	4	0	0	0	0	0	0	0	0	0	0	0
seq1134	0	0	4	0	0	0	0	0	0	0	0	0
seq1135	0	0	4	0	0	0	0	0	0	0	0	0
seq1136	0	0	4	0	0	0	0	0	0	0	0	0
seq1137	0	0	4	0	0	0	0	0	0	0	0	0
seq1138	0	0	0	4	0	0	0	0	0	0	0	0
seq1139	0	0	0	4	0	0	0	0	0	0	0	0
seq1140	0	0	0	0	4	0	0	0	0	0	0	0
seq1141	0	0	0	0	4	0	0	0	0	0	0	0
seq1142	0	0	0	0	4	0	0	0	0	0	0	0
seq1143	0	0	0	0	4	0	0	0	0	0	0	0
seq1144	0	0	0	0	4	0	0	0	0	0	0	0
seq1145	0	0	0	0	0	0	4	0	0	0	0	0
seq1146	0	0	0	0	0	0	4	0	0	0	0	0
seq1147	0	0	0	0	0	0	4	0	0	0	0	0
seq1148	0	0	0	0	0	0	0	0	4	0	0	0
seq1149	0	0	0	0	0	0	0	0	0	4	0	0
seq1150	0	4	0	0	0	0	0	0	0	0	0	0
seq1151	4	0	0	0	0	0	0	0	0	0	0	0
seq1152	4	0	0	0	0	0	0	0	0	0	0	0
seq1153	4	0	0	0	0	0	0	0	0	0	0	0
seq1154	4	0	0	0	0	0	0	0	0	0	0	0
seq1155	4	0	0	0	0	0	0	0	0	0	0	0
seq1156	0	4	0	0	0	0	0	0	0	0	0	0
seq1157	0	4	0	0	0	0	0	0	0	0	0	0
seq1158	0	4	0	0	0	0	0	0	0	0	0	0
seq1159	0	4	0	0	0	0	0	0	0	0	0	0
seq1160	0	4	0	0	0	0	0	0	0	0	0	0
seq1161	0	4	0	0	0	0	0	0	0	0	0	0
seq1162	0	4	0	0	0	0	0	0	0	0	0	0
seq1163	0	0	4	0	0	0	0	0	0	0	0	0
seq1164	0	0	4	0	0	0	0	0	0	0	0	0
seq1165	0	0	4	0	0	0	0	0	0	0	0	0
seq1166	0	0	0	4	0	0	0	0	0	0	0	0
seq1167	0	0	0	4	0	0	0	0	0	0	0	0
seq1168	0	0	0	4	0	0	0	0	0	0	0	0
seq1169	0	0	0	0	4	0	0	0	0	0	0	0
seq1170	0	0	0	0	4	0	0	0	0	0	0	0
seq1171	0	0	0	0	4	0	0	0	0	0	0	0
seq1172	0	0	0	0	4	0	0	0	0	0	0	0
seq1173	0	0	0	0	4	0	0	0	0	0	0	0
seq1174	0	0	0	0	0	4	0	0	0	0	0	0
seq1175	0	0	0	0	0	0	4	0	0	0	0	0
seq1176	0	0	0	0	0	0	0	4	0	0	0	0
seq1177	0	0	0	0	0	0	0	0	4	0	0	0
seq1178	0	0	0	0	0	0	0	0	0	4	0	0
seq1179	0	0	0	0	0	0	0	0	0	4	0	0
seq1180	0	0	0	0	0	0	0	0	0	4	0	0
seq1181	0	0	0	0	0	0	0	0	0	4	0	0
seq1182	0	0	0	0	0	0	0	0	0	4	0	0
seq1183	0	0	0	0	0	0	0	0	0	4	0	0
seq1184	0	0	0	0	0	0	0	0	0	0	0	4
seq1185	0	0	0	0	0	0	0	0	0	0	0	4
seq1186	3	0	0	0	0	0	0	0	0	0	0	0
seq1187	0	3	0	0	0	0	0	0	0	0	0	0
seq1188	0	3	0	0	0	0	0	0	0	0	0	0
seq1189	0	0	0	3	0	0	0	0	0	0	0	0
seq1190	0	0	0	3	0	0	0	0	0	0	0	0
seq1191	0	0	0	3	0	0	0	0	0	0	0	0
seq1192	0	0	0	0	3	0	0	0	0	0	0	0
seq1193	0	0	0	0	0	0	3	0	0	0	0	0
seq1194	0	0	0	0	0	0	3	0	0	0	0	0
seq1195	0	0	0	0	0	0	0	3	0	0	0	0
seq1196	0	0	0	0	0	0	0	3	0	0	0	0
seq1197	0	0	0	0	0	0	0	3	0	0	0	0
seq1198	0	0	0	0	0	0	0	0	3	0	0	0
seq1199	0	0	0	0	0	0	0	0	3	0	0	0
seq1200	0	0	0	0	0	0	0	0	0	3	0	0
seq1201	0	0	0	0	0	0	0	0	0	0	0	3
seq1202	3	0	0	0	0	0	0	0	0	0	0	0
seq1203	3	0	0	0	0	0	0	0	0	0	0	0
seq1204	0	3	0	0	0	0	0	0	0	0	0	0
seq1205	0	0	3	0	0	0	0	0	0	0	0	0
seq1206	0	0	3	0	0	0	0	0	0	0	0	0
seq1207	0	0	3	0	0	0	0	0	0	0	0	0
seq1208	0	0	3	0	0	0	0	0	0	0	0	0
seq1209	0	0	0	3	0	0	0	0	0	0	0	0
seq1210	0	0	0	3	0	0	0	0	0	0	0	0
seq1211	0	0	0	3	0	0	0	0	0	0	0	0
seq1212	0	0	0	3	0	0	0	0	0	0	0	0
seq1213	0	0	0	3	0	0	0	0	0	0	0	0
seq1214	0	0	0	0	3	0	0	0	0	0	0	0
seq1215	0	0	0	0	3	0	0	0	0	0	0	0
seq1216	0	0	0	0	3	0	0	0	0	0	0	0
seq1217	0	0	0	0	3	0	0	0	0	0	0	0
seq1218	0	0	0	0	0	3	0	0	0	0	0	0
seq1219	0	0	0	0	0	3	0	0	0	0	0	0
seq1220	0	0	0	0	0	0	3	0	0	0	0	0
seq1221	0	0	0	0	0	0	0	0	0	3	0	0
seq1222	2	0	0	0	0	0	0	0	0	0	0	0
seq1223	0	2	0	0	0	0	0	0	0	0	0	0
seq1224	0	2	0	0	0	0	0	0	0	0	0	0
seq1225	0	2	0	0	0	0	0	0	0	0	0	0
seq1226	0	0	2	0	0	0	0	0	0	0	0	0
seq1227	0	0	0	2	0	0	0	0	0	0	0	0
seq1228	0	0	0	2	0	0	0	0	0	0	0	0
seq1229	0	0	0	0	2	0	0	0	0	0	0	0
seq1230	0	0	0	0	0	0	0	0	2	0	0	0
seq1231	0	0	0	0	0	0	0	0	2	0	0	0
seq1232	0	0	0	0	0	0	0	0	0	2	0	0
seq1233	2	0	0	0	0	0	0	0	0	0	0	0
seq1234	2	0	0	0	0	0	0	0	0	0	0	0
seq1235	0	2	0	0	0	0	0	0	0	0	0	0
seq1236	0	2	0	0	0	0	0	0	0	0	0	0
seq1237	0	2	0	0	0	0	0	0	0	0	0	0
seq1238	0	2	0	0	0	0	0	0	0	0	0	0
seq1239	0	2	0	0	0	0	0	0	0	0	0	0
seq1240	0	2	0	0	0	0	0	0	0	0	0	0
seq1241	0	2	0	0	0	0	0	0	0	0	0	0
seq1242	0	2	0	0	0	0	0	0	0	0	0	0
seq1243	0	2	0	0	0	0	0	0	0	0	0	0
seq1244	0	0	0	2	0	0	0	0	0	0	0	0
seq1245	0	0	0	2	0	0	0	0	0	0	0	0
seq1246	0	0	0	2	0	0	0	0	0	0	0	0
seq1247	0	0	0	2	0	0	0	0	0	0	0	0
seq1248	0	0	0	2	0	0	0	0	0	0	0	0
seq1249	0	0	0	2	0	0	0	0	0	0	0	0
seq1250	0	0	0	2	0	0	0	0	0	0	0	0
seq1251	0	0	0	0	2	0	0	0	0	0	0	0
seq1252	0	0	0	0	0	2	0	0	0	0	0	0
seq1253	0	0	0	0	0	0	2	0	0	0	0	0
seq1254	0	0	0	0	0	0	2	0	0	0	0	0
seq1255	0	0	0	0	0	0	0	0	2	0	0	0
seq1256	0	0	0	0	0	0	0	0	0	2	0	0
seq1257	0	0	0	0	0	0	0	0	0	0	0	2
