pr_skema,U_Pr_Nr,Navn_Inds,skib,Inst,Dato_inds,Lok_omr01,Lok_omr02,lok_pos_lat,lok_pos_lon,max_Dyb,Dyb_Str_m,Vwf_mL,vandsoejllagd,Dyb_lagd01,Dyb_lagd02,delproe,tdspkt_inds,tdspkt_filt,tdspkt_indfr,dato_80C,Temp_Inds,vandhent_skyll,pose_udskf,vandpr_inds_samt_m,restv_pres_ud,ziplock_markeret,Bemaerkn,ark_year,file,typeorder,bioreplno,datenumber,setno,uniq_smplset_no,uniq_bioreplno
,MST085,Jane_Robertsen,Liv_II,MST_oestjylland,15/05/2018,ARH170006_Molshoved_Aarhus_bugt,,56.154870,10.318345,16.4,1.0,1550,yes,2.5,6.5,no,10:17,11:14,11:16,16/05/2018,14.6,yes,yes,Fyto_Zoo,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_ARH170006_15052018,277,3,20180515,2,20180515-2,20180515-2.3
,MST297,Mie_Kjaer_Hoehne,Haig,MST_Sydjylland,15/05/2018,RIB1510007,,55.338850,8.349417,6.2,1.0,1500,no,,,no,13:24,13:47,13:47,,15.7,yes,yes,Fytoplankton,yes,yes,,2017,EDNA_150007_2018,291,1,20180515,3,20180515-3,20180515-3.1
,MST286,Mie_Kjaer_Hoehne,Haig,MST_Sydjylland,15/05/2018,RIB1510007,,55.338850,8.349417,6.2,1.0,1500,no,,,no,13:29,14:20,14:20,,15.7,yes,yes,Fytoplankton,yes,yes,,2017,EDNA_150007_2018,292,2,20180515,3,20180515-3,20180515-3.2
,MST291,Mie_Kjaer_Hoehne,Haig,MST_Sydjylland,15/05/2018,RIB1510007,,55.338850,8.349417,6.2,1.0,1500,no,,,no,13:27,14:02,14:02,,17.7,yes,yes,Fytoplankton,yes,yes,,2017,EDNA_150007_2018,293,3,20180515,3,20180515-3,20180515-3.3
,MST115,jepni_benje,Penelope,Midtjylland,15/05/2018,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.1,1.0,600,no,,,,06:20,07:05,07:20,15/05/2018,17.8,yes,yes,Fytoplanton,yes,yes,,2018,proevetagningsskema_MJY_RKB1_150518,309,1,20180515,4,20180515-4,20180515-4.1
,2017289,jepni_benje,Penelope,Midtjylland,15/05/2018,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.1,1.0,600,no,,,,06:20,07:25,07:40,15/05/2018,17.8,yes,yes,Fytoplanton,yes,yes,,2018,proevetagningsskema_MJY_RKB1_150518,310,2,20180515,4,20180515-4,20180515-4.2
,2017290,jepni_benje,Penelope,Midtjylland,15/05/2018,RKB1_Ringkoebing_fjord,,56.076167,8.224333,3.1,1.0,650,no,,,,06:20,07:45,08:00,15/05/2018,17.8,yes,yes,Fytoplanton,yes,yes,,2018,proevetagningsskema_MJY_RKB1_150518,311,3,20180515,4,20180515-4,20180515-4.3
,MST150,JAROB_20629477,LIV_II,MST_oest,16/05/2018,VEJ0006870,,55.674110,10.090410,19.8,1.0,,yes,8.5,,no,04:44,05:05,05:07,16/05/2018,15.1,yes,yes,Fyto,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_VEJ0006870_160518,184,1,20180516,1,20180516-1,20180516-1.1
,MST162,JAROB_20629477,LIV_II,MST_oest,16/05/2018,VEJ0006870,,55.674110,10.090410,19.8,1.0,,yes,8.5,,no,04:44,05:24,05:26,16/05/2018,15.1,yes,yes,Fyto,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_VEJ0006870_160518,185,2,20180516,1,20180516-1,20180516-1.2
,MST229,JAROB_20629477,LIV_II,MST_oest,16/05/2018,VEJ0006870,,55.674110,10.090410,19.8,1.0,,yes,8.5,,no,04:44,05:43,05:45,16/05/2018,15.1,yes,yes,Fyto,yes,yes,Sendt_til_Eurofins_d_16_05_2018,2017,proevetagningsskema_VEJ0006870_160518,186,3,20180516,1,20180516-1,20180516-1.3
,MST047,PHELD,DAPHNE,MST_FYN,23/05/2018,Arkona_DMU444,,55.015833,13.296667,46.3,45.2,1500,yes,42.0,,,10:43,11:12,11:13,23/05/2018,5.0,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,138,1,20180523,1,20180523-1,20180523-1.1
,MST069,PHELD,DAPHNE,MST_FYN,23/05/2018,Arkona_DMU444,,55.015833,13.296667,46.3,45.2,1500,yes,42.0,,,10:43,11:27,11:28,23/05/2018,5.0,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,139,2,20180523,1,20180523-1,20180523-1.2
,MST091,PHELD,DAPHNE,MST_FYN,23/05/2018,Arkona_DMU444,,55.015833,13.296667,46.3,45.2,1500,yes,42.0,,,10:43,11:40,11:41,23/05/2018,5.0,yes,yes,Bundfauna,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,140,3,20180523,1,20180523-1,20180523-1.3
,MST126,Lasse_oersted_Jensen,Fucus,MST_Sydjylland,25/05/2018,LISD0027,,55.093300,8.568250,1.4,0.4,300,no,,,no,11:00,11:00,11:15,,17.0,yes,yes,Nej,yes,no,no_kun_nummer,2017,proevetagningsskema_EDNA_LISD0027_2018,280,1,20180525,1,20180525-1,20180525-1.1
,MST124,Lasse_oersted_Jensen,Fucus,MST_Sydjylland,25/05/2018,LISD0027,,55.093300,8.568250,1.4,0.4,300,no,,,no,11:00,11:00,11:15,,17.0,yes,yes,Nej,yes,no,no_kun_nummer,2017,proevetagningsskema_EDNA_LISD0027_2018,281,2,20180525,1,20180525-1,20180525-1.2
,MST270,Lasse_oersted_Jensen,Fucus,MST_Sydjylland,25/05/2018,LISD0027,,55.093300,8.568250,1.4,0.4,300,no,,,no,11:00,11:00,11:15,,17.0,yes,yes,Nej,yes,no,no_kun_nummer,2017,proevetagningsskema_EDNA_LISD0027_2018,282,3,20180525,1,20180525-1,20180525-1.3
Ebeltoft_vig,MST281,geped,Musling,oestjylland,28/05/2018,Ebeltoft_vig,,56.183983,10.591450,12.0,11.0,1150,yes,6.0,,no,17:20,17:38,17:41,29/05/2018,7.9,yes,yes,Bundfauna,yes,yes,,2017,Proevetagning_musling,68,1,20180528,1,20180528-1,20180528-1.1
Ebeltoft_vig,MST296,geped,Musling,oestjylland,28/05/2018,Ebeltoft_vig,,56.183983,10.591450,12.0,11.0,1200,yes,6.0,,no,17:20,18:00,18:02,29/05/2018,7.9,yes,yes,Bundfauna,yes,yes,,2017,Proevetagning_musling,69,2,20180528,1,20180528-1,20180528-1.2
Ebeltoft_vig,MST061,geped,Musling,oestjylland,28/05/2018,Ebeltoft_vig,,56.183983,10.591450,12.0,11.0,1100,yes,6.0,,no,17:20,18:20,18:23,29/05/2018,7.9,yes,yes,Bundfauna,yes,yes,,2017,Proevetagning_musling,70,3,20180528,1,20180528-1,20180528-1.3
BRKBMPK2,MST223,Steen_Krogsboell_stkro,aaboen,Miljoestyrelsen_Storstroem,29/05/2018,BRKBMPK2_910_Bornholm_aabne_del,,55.250000,15.983333,89.0,1.0,1200,yes,8.0,60.0,,11:00,11:20,11:20,28/06/2018,14.0,yes,yes,fytoplankton,yes,no,i_hvert_fald_med_med_unikt_nr_,2018,proevetagningsskema_BRKBMPK2,153,1,20180529,1,20180529-1,20180529-1.1
BRKBMPK2,MST151,Steen_Krogsboell_stkro,aaboen,Miljoestyrelsen_Storstroem,29/05/2018,BRKBMPK2_910_Bornholm_aabne_del,,55.250000,15.983333,89.0,1.0,1400,yes,8.0,60.0,,11:00,11:40,11:40,28/06/2018,14.0,yes,yes,fytoplankton,yes,no,i_hvert_fald_med_med_unikt_nr_,2018,proevetagningsskema_BRKBMPK2,154,2,20180529,1,20180529-1,20180529-1.2
BRKBMPK2,MST241,Steen_Krogsboell_stkro,aaboen,Miljoestyrelsen_Storstroem,29/05/2018,BRKBMPK2_910_Bornholm_aabne_del,,55.250000,15.983333,89.0,1.0,1400,yes,8.0,60.0,,11:00,12:00,12:00,28/06/2018,14.0,yes,yes,fytoplankton,yes,no,i_hvert_fald_med_med_unikt_nr_,2018,proevetagningsskema_BRKBMPK2,155,3,20180529,1,20180529-1,20180529-1.3
FYN6900017,MST152,Ole_Blohm_Poulsen_olbpo,BELONE_BELONE,Miljoestyrelsen_Fyn,04/06/2018,ODF17_Odense_Fjord,,55.478233,10.518233,9.8,1.0,900,no,not_avail,,,10:30,10:35,,04/06/2018,20.5,yes,yes,fytoplankton,yes,yes,,2018,proevetagning_FYN6900017_2018,118,1,20180604,1,20180604-1,20180604-1.1
FYN6900017,MST157,Ole_Blohm_Poulsen_olbpo,BELONE_BELONE,Miljoestyrelsen_Fyn,04/06/2018,ODF17_Odense_Fjord,,55.478233,10.518233,9.8,1.0,950,no,not_avail,,,10:30,11:10,11:20,04/06/2018,20.5,yes,yes,fytoplankton,yes,yes,,2018,proevetagning_FYN6900017_2018,119,2,20180604,1,20180604-1,20180604-1.2
FYN6900017,MST160,Ole_Blohm_Poulsen_olbpo,BELONE_BELONE,Miljoestyrelsen_Fyn,04/06/2018,ODF17_Odense_Fjord,,55.478233,10.518233,9.8,1.0,,no,not_avail,,,10:30,11:30,11:45,04/06/2018,20.5,yes,yes,fytoplankton,yes,yes,,2018,proevetagning_FYN6900017_2018,120,3,20180604,1,20180604-1,20180604-1.3
VIB_3708-00001,MST076,pheld,Musling,Nordjylland,06/06/2018,Loegstoer_bredning,,56.956667,9.062333,6.9,1.0,1100,no,,,no,09:21,09:41,09:43,07/06/2018,20.8,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,72,1,20180606,1,20180606-1,20180606-1.1
VIB_3708-00001,MST086,pheld,Musling,Nordjylland,06/06/2018,Loegstoer_bredning,,56.956667,9.062333,6.9,1.0,1100,no,,,no,09:21,10:00,10:02,07/06/2018,20.8,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,73,2,20180606,1,20180606-1,20180606-1.2
VIB_3708-00001,MST090,pheld,Musling,Nordjylland,06/06/2018,Loegstoer_bredning,,56.956667,9.062333,6.9,1.0,1000,no,,,no,09:21,10:18,10:20,07/06/2018,20.8,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,74,3,20180606,1,20180606-1,20180606-1.3
VIB_3727-00001,MST060,pheld,Musling,Midtjylland,07/06/2018,Skive_fjord,,56.620833,9.074833,5.0,1.0,550,no,,,no,07:07,07:32,07:34,07/06/2018,20.7,yes,yes,fytoplankton,yes,yes,Alger_og_muslingefiskeri_i_omraadet,2017,Proevetagning_musling,76,1,20180607,1,20180607-1,20180607-1.1
VIB_3727-00001,MST075,pheld,Musling,Midtjylland,07/06/2018,Skive_fjord,,56.620833,9.074833,5.0,1.0,500,no,,,no,07:07,07:49,07:51,07/06/2018,20.7,yes,yes,fytoplankton,yes,yes,Alger_og_muslingefiskeri_i_omraadet,2017,Proevetagning_musling,77,2,20180607,1,20180607-1,20180607-1.2
VIB_3727-00001,MST088,pheld,Musling,Midtjylland,07/06/2018,Skive_fjord,,56.620833,9.074833,5.0,1.0,500,no,,,no,07:07,08:04,08:04,07/06/2018,20.7,yes,yes,fytoplankton,yes,yes,Alger_og_muslingefiskeri_i_omraadet,2017,Proevetagning_musling,78,3,20180607,1,20180607-1,20180607-1.3
NOR_409,MST154,jocth,Musling,Nordjylland,11/06/2018,aalborg_bugt,,56.856667,10.791667,14.2,1.0,1800,unkn,unkn,,no,07:45,08:10,08:30,14/06/2018,unkn,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,80,1,20180611,1,20180611-1,20180611-1.1
NOR_409,MST087,jocth,Musling,Nordjylland,11/06/2018,aalborg_bugt,,56.856667,10.791667,14.2,1.0,1800,unkn,unkn,,no,07:45,09:16,09:30,11/06/2018,unkn,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,81,2,20180611,1,20180611-1,20180611-1.2
NOR_409,MST071,jocth,Musling,Nordjylland,11/06/2018,aalborg_bugt,,56.856667,10.791667,14.2,1.0,1800,unkn,unkn,,no,07:45,09:35,09:50,14/06/2018,unkn,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,82,3,20180611,1,20180611-1,20180611-1.3
NOR_5503,MST074,nifso,Musling,Nordjylland,11/06/2018,Mariager_fjord,,56.659000,9.973333,28.0,1.0,1610,yes,unkn,,no,11:10,11:20,11:35,14/06/2018,unkn,yes,yes,fytoplanton,yes,yes,,2017,Proevetagning_musling,84,1,20180611,2,20180611-2,20180611-2.1
NOR_5503,MST073,nifso,Musling,Nordjylland,11/06/2018,Mariager_fjord,,56.659000,9.973333,28.0,1.0,1620,yes,unkn,,no,11:10,11:40,12:00,14/06/2018,unkn,yes,yes,fytoplankton,yes,yes,,2017,Proevetagning_musling,85,2,20180611,2,20180611-2,20180611-2.2
NOR_5503,MST299,nifso,Musling,Nordjylland,11/06/2018,Mariager_fjord,,56.659000,9.973333,28.0,1.0,1500,yes,unkn,,no,11:10,12:00,12:16,14/06/2018,unkn,yes,yes,fytoplankton,yes,yes,,2017,Proevetagning_musling,86,3,20180611,2,20180611-2,20180611-2.3
Kragskov_Rev_syd,MST136,Svend_aage_Bendtsen_saabe,Pingo,Miljoestyrelsen_Nordjylland,27/06/2018,Kragskov_Rev,,57.540783,10.479267,5.2,4.0,1800,no,not_avail,,,11:30,13:30,13:30,05/07/2018,17.0,yes,yes,makroagle,yes,yes,Vandproever_transporteret_i_land_foer_filtrering_Koelet_med_9_store_koeleelementer,2018,proevetagning_Krageskov_rev_270618,108,1,20180627,1,20180627-1,20180627-1.1
Kragskov_Rev_syd,MST132,Svend_aage_Bendtsen_saabe,Pingo,Miljoestyrelsen_Nordjylland,27/06/2018,Kragskov_Rev,,57.540783,10.479267,5.2,4.0,1600,no,not_avail,,,11:30,13:45,13:45,05/07/2018,17.0,yes,yes,makroagle,yes,yes,Vandproever_transporteret_i_land_foer_filtrering_Koelet_med_9_store_koeleelementer,2018,proevetagning_Krageskov_rev_270618,109,2,20180627,1,20180627-1,20180627-1.2
Kragskov_Rev_syd,MST155,Svend_aage_Bendtsen_saabe,Pingo,Miljoestyrelsen_Nordjylland,27/06/2018,Kragskov_Rev,,57.540783,10.479267,5.2,4.0,1900,no,not_avail,,,11:30,14:00,14:00,05/07/2018,17.0,yes,yes,makroagle,yes,yes,Vandproever_transporteret_i_land_foer_filtrering_Koelet_med_9_store_koeleelementer,2018,proevetagning_Krageskov_rev_270618,110,3,20180627,1,20180627-1,20180627-1.3
,MST280,Emil_Guddal_Larsen,Capella,Sjaelland,27/06/2018,ROS60,,55.713000,12.066667,4.8,1.0,1500,no,,,,09:22,09:52,10:00,27/06/2018,13.4,yes,yes,Fytoplankton,yes,yes,Sendt_til_Eurofins_d_27_06_2018,2018,proevetagningsskema_ROS60_27062018,192,1,20180627,2,20180627-2,20180627-2.1
,MST262,Emil_Guddal_Larsen,Capella,Sjaelland,27/06/2018,ROS60,,55.713000,12.066667,4.8,1.0,1400,no,,,,10:02,10:30,10:32,27/06/2018,13.4,yes,yes,Fytoplankton,yes,yes,Sendt_til_Eurofins_d_27_06_2019,2018,proevetagningsskema_ROS60_27062018,193,2,20180627,2,20180627-2,20180627-2.2
,MST258,Emil_Guddal_Larsen,Capella,Sjaelland,27/06/2018,ROS60,,55.713000,12.066667,4.8,1.0,1600,no,,,,10:30,11:03,11:08,27/06/2018,13.4,yes,yes,Fytoplankton,yes,yes,Sendt_til_Eurofins_d_27_06_2020,2018,proevetagningsskema_ROS60_27062018,194,3,20180627,2,20180627-2,20180627-2.3
,MST273,Emil_Guddal_Larsen,SJL_Gummibaad,Sjaelland,27/06/2018,Nivaa_Bugt_MCR230010,,55.968167,12.566000,3.0,1.0,1700,no,,,,12:27,12:58,13:00,27/06/2018,13.0,yes,yes,Makroalger,yes,yes,Vandproeve_hentet_i_forbindelse_med_makroalgeundersoegelse_i_dybdeinterval_2_4_m_Sendt_til_Eurofins_d_27_06_2018,2018,proevetagningsskema_MCR230010_27062018,218,1,20180627,3,20180627-3,20180627-3.1
,MST230,Emil_Guddal_Larsen,SJL_Gummibaad,Sjaelland,27/06/2018,Nivaa_Bugt_MCR230010,,55.968167,12.566000,3.0,1.0,1600,no,,,,12:28,13:30,13:32,27/06/2018,13.0,yes,yes,Makroalger,yes,yes,Vandproeve_hentet_i_forbindelse_med_makroalgeundersoegelse_i_dybdeinterval_2_4_m_Sendt_til_Eurofins_d_27_06_2018,2018,proevetagningsskema_MCR230010_27062018,219,2,20180627,3,20180627-3,20180627-3.2
,MST271,Emil_Guddal_Larsen,SJL_Gummibaad,Sjaelland,27/06/2018,Nivaa_Bugt_MCR230010,,55.968167,12.566000,3.0,1.0,1600,no,,,,12:28,13:58,14:00,27/06/2018,13.0,yes,yes,Makroalger,yes,yes,Vandproeve_hentet_i_forbindelse_med_makroalgeundersoegelse_i_dybdeinterval_2_4_m_Sendt_til_Eurofins_d_27_06_2018,2018,proevetagningsskema_MCR230010_27062018,220,3,20180627,3,20180627-3,20180627-3.3
,MST107,JAOLA_AMLIN,Graasaelen,STO,06/07/2018,ENoe_NORD_0101142,,55.161633,11.658350,4.8,3.5,1400,no,not_avail,,no,09:15,10:00,10:05,06/07/2018,19.3,yes,yes,makroalge,yes,yes,,2017,Proevetagningsskema_STO,2,1,20180706,1,20180706-1,20180706-1.1
,MST104,JAOLA_AMLIN,Graasaelen,STO,06/07/2018,ENoe_NORD_0101142,,55.161633,11.658350,4.8,3.5,1300,no,not_avail,,no,09:15,10:17,10:20,06/07/2018,19.3,yes,yes,makroalge,yes,yes,,2017,Proevetagningsskema_STO,3,2,20180706,1,20180706-1,20180706-1.2
,MST113,JAOLA_AMLIN,Graasaelen,STO,06/07/2018,ENoe_NORD_0101142,,55.161633,11.658350,4.8,3.5,1100,no,not_avail,,no,09:15,10:32,10:35,06/07/2018,19.3,yes,yes,makroalge,yes,yes,,2017,Proevetagningsskema_STO,4,3,20180706,1,20180706-1,20180706-1.3
,MST128,Mie_Kjaer_Hoehne,Fucus,MST_Sydjylland,07/08/2018,RIB1510007,,55.337583,8.350617,6.0,1.0,1200,no,,,no,10:13,10:27,10:30,,21.5,yes,yes,Fytoplankton,yes,yes,,2017,EDNA_150007_2018,294,1,20180807,1,20180807-1,20180807-1.1
,MST123,Mie_Kjaer_Hoehne,Fucus,MST_Sydjylland,07/08/2018,RIB1510007,,55.337583,8.350617,6.0,1.0,1200,no,,,no,09:50,10:06,10:07,,21.5,yes,yes,Fytoplankton,yes,yes,,2017,EDNA_150007_2018,295,2,20180807,1,20180807-1,20180807-1.2
,MST127,Mie_Kjaer_Hoehne,Fucus,MST_Sydjylland,07/08/2018,RIB1510007,,55.337583,8.350617,6.0,1.0,1300,no,,,no,09:27,09:42,09:47,,21.5,yes,yes,Fytoplankton,yes,yes,,2017,EDNA_150007_2018,296,3,20180807,1,20180807-1,20180807-1.3
,MST143,Emil_Guddal_Larsen,Capella,Sjaelland,16/08/2018,ROS60,,55.713000,12.066667,4.8,1.0,1600,no,,,,09:35,09:52,10:05,16/08/2018,20.4,yes,yes,Fytoplankton,yes,yes,Sendt_til_Eurofins_d_16_08_2018,2018,proevetagningsskema_ROS60_16082018,201,1,20180816,1,20180816-1,20180816-1.1
,MST138,Emil_Guddal_Larsen,Capella,Sjaelland,16/08/2018,ROS60,,55.713000,12.066667,4.8,1.0,1800,no,,,,10:07,10:33,10:37,16/08/2018,20.4,yes,yes,Fytoplankton,yes,yes,Sendt_til_Eurofins_d_16_08_2019,2018,proevetagningsskema_ROS60_16082018,202,2,20180816,1,20180816-1,20180816-1.2
,MST141,Emil_Guddal_Larsen,Capella,Sjaelland,16/08/2018,ROS60,,55.713000,12.066667,4.8,1.0,1500,no,,,,10:35,10:58,11:00,16/08/2018,20.4,yes,yes,Fytoplankton,yes,yes,Sendt_til_Eurofins_d_16_08_2020,2018,proevetagningsskema_ROS60_16082018,203,3,20180816,1,20180816-1,20180816-1.3
,MST225,Ulrich_Berggren_Jensen_ulbje,Liv_II,Miljoestyrelsen_Fyn,17/08/2018,FYN6300043,,54.997500,10.160833,35.0,1.0,1200,yes,4.5,,no,12:05,13:36,13:36,17/08/2018,20.5,yes,yes,Fyto,yes,yes,Udtagningstidspunktet_aendret_til_kl_1305_efter_telefonisk_aftale_med_ulbje_den_200818_Proeverne_er_blevet_kasseret_grundet_fejlhaandtering_efter_modtagelsen_hos_Eurofins_Nye_proever_udtaget_den_28082018_Afsendt_til_Eurofins_den_17082018,2017,proevetagningsskema_FYN6300043_170818,236,1,20180817,1,20180817-1,20180817-1.1
,MST231,Ulrich_Berggren_Jensen_ulbje,Liv_II,Miljoestyrelsen_Fyn,17/08/2018,FYN6300043,,54.997500,10.160833,35.0,1.0,1300,yes,4.5,,no,12:05,13:15,13:15,17/08/2018,20.5,yes,yes,Fyto,yes,yes,Udtagningstidspunktet_aendret_til_kl_1305_efter_telefonisk_aftale_med_ulbje_den_200818_Proeverne_er_blevet_kasseret_grundet_fejlhaandtering_efter_modtagelsen_hos_Eurofins_Nye_proever_udtaget_den_28082018,2017,proevetagningsskema_FYN6300043_170818,237,2,20180817,1,20180817-1,20180817-1.2
,MST259,Ulrich_Berggren_Jensen_ulbje,Liv_II,Miljoestyrelsen_Fyn,17/08/2018,FYN6300043,,54.997500,10.160833,35.0,1.0,1110,yes,4.5,,no,12:05,12:55,12:55,17/08/2018,20.5,yes,yes,Fyto,yes,yes,Udtagningstidspunktet_aendret_til_kl_1305_efter_telefonisk_aftale_med_ulbje_den_200818_Proeverne_er_blevet_kasseret_grundet_fejlhaandtering_efter_modtagelsen_hos_Eurofins_Nye_proever_udtaget_den_28082018,2017,proevetagningsskema_FYN6300043_170818,238,3,20180817,1,20180817-1,20180817-1.3
,MST240,Jane_Robertsen_jarob_20629477,LIV_II,MST_oestjylland,23/08/2018,VEJ0006870,,55.674047,10.090607,20.2,1.0,1500,yes,7.0,,no,05:56,06:17,06:19,28/08/2018,18.2,yes,yes,fytoplankton,yes,yes,,2017,proevetagningsskema_VEJ0006870_230818,178,1,20180823,1,20180823-1,20180823-1.1
,MST245,Jane_Robertsen_jarob_20629477,LIV_II,MST_oestjylland,23/08/2018,VEJ0006870,,55.674047,10.090607,20.2,1.0,1600,yes,7.0,,no,05:56,06:34,06:36,28/08/2018,18.2,yes,yes,fytoplankton,yes,yes,,2017,proevetagningsskema_VEJ0006870_230818,179,2,20180823,1,20180823-1,20180823-1.2
,MST257,Jane_Robertsen_jarob_20629477,LIV_II,MST_oestjylland,23/08/2018,VEJ0006870,,55.674047,10.090607,20.2,1.0,1600,yes,7.0,,no,05:56,06:50,06:52,28/08/2018,18.2,yes,yes,fytoplankton,yes,yes,,2017,proevetagningsskema_VEJ0006870_230818,180,3,20180823,1,20180823-1,20180823-1.3
,MST226,Jane_Robertsen_jarob_20629477,LIV_II,MST_Fyn,28/08/2018,FYN6300043,,54.997398,10.161378,35.6,1.0,1200,yes,11.5,,no,09:37,09:58,10:00,28/08/2018,18.2,yes,yes,fytoplnkton,yes,yes,,2017,proevetagningsskema_FYN6300043_280818,224,1,20180828,1,20180828-1,20180828-1.1
,MST238,Jane_Robertsen_jarob_20629477,LIV_II,MST_Fyn,28/08/2018,FYN6300043,,54.997398,10.161378,35.6,1.0,1500,yes,11.5,,no,09:37,10:14,10:16,28/08/2018,18.2,yes,yes,fytoplankton,yes,yes,,2017,proevetagningsskema_FYN6300043_280818,225,2,20180828,1,20180828-1,20180828-1.2
,MST244,Jane_Robertsen_jarob_20629477,LIV_II,MST_Fyn,28/08/2018,FYN6300043,,54.997398,10.161378,35.6,1.0,1500,yes,11.5,,no,09:37,10:31,10:33,28/08/2018,18.2,yes,yes,fytoplankton,yes,yes,,2017,proevetagningsskema_FYN6300043_280818,226,3,20180828,1,20180828-1,20180828-1.3
VIB_3708-00001,MST228,geped,Musling,Nordjylland,29/08/2018,Loegstoer_bredning,,56.954000,9.062333,7.4,1.0,850,no,,,no,09:50,10:13,10:17,30/08/2018,17.1,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,88,1,20180829,1,20180829-1,20180829-1.1
VIB_3708-00001,MST224,geped,Musling,Nordjylland,29/08/2018,Loegstoer_bredning,,56.954000,9.062333,7.4,1.0,700,no,,,no,09:50,10:31,10:34,30/08/2018,17.1,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,89,2,20180829,1,20180829-1,20180829-1.2
VIB_3708-00001,MST227,geped,Musling,Nordjylland,29/08/2018,Loegstoer_bredning,,56.954000,9.062333,7.4,1.0,700,no,,,no,09:50,10:47,10:50,30/08/2018,17.1,yes,yes,Zoo_og_fytoplankton,yes,yes,,2017,Proevetagning_musling,90,3,20180829,1,20180829-1,20180829-1.3
,MST221,PHELD,DAPHNE,MST_SJaeLLAND,29/08/2018,oeresund_Ven_KBH431,,55.865833,12.749167,50.9,1.0,1300,yes,12.0,,,10:01,10:24,10:25,30/08/2018,17.7,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,141,1,20180829,2,20180829-2,20180829-2.1
,MST233,PHELD,DAPHNE,MST_SJaeLLAND,29/08/2018,oeresund_Ven_KBH431,,55.865833,12.749167,50.9,1.0,1350,yes,12.0,,,10:01,10:37,10:38,30/08/2018,17.7,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,142,2,20180829,2,20180829-2,20180829-2.2
,MST248,PHELD,DAPHNE,MST_SJaeLLAND,29/08/2018,oeresund_Ven_KBH431,,55.865833,12.749167,50.9,1.0,1400,yes,12.0,,,10:01,10:49,10:50,30/08/2018,17.7,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,143,3,20180829,2,20180829-2,20180829-2.3
VIB_3727-00001,MST217,geped,Musling,Midtjylland,30/08/2018,Skive_fjord,,56.620833,9.075833,4.8,1.0,900,yes,4.0,,no,07:09,07:42,07:45,30/08/2018,17.3,yes,yes,fytoplankton,yes,yes,,2017,Proevetagning_musling,92,1,20180830,1,20180830-1,20180830-1.1
VIB_3727-00001,MST220,geped,Musling,Midtjylland,30/08/2018,Skive_fjord,,56.620833,9.075833,4.8,1.0,900,yes,4.0,,no,07:09,07:27,07:30,30/08/2018,17.3,yes,yes,fytoplankton,yes,yes,,2017,Proevetagning_musling,93,2,20180830,1,20180830-1,20180830-1.2
VIB_3727-00001,MST208,geped,Musling,Midtjylland,30/08/2018,Skive_fjord,,56.620833,9.075833,4.8,1.0,900,yes,4.0,,no,07:09,07:53,07:56,30/08/2018,17.3,yes,yes,fytoplankton,yes,yes,,2017,Proevetagning_musling,94,3,20180830,1,20180830-1,20180830-1.3
,MST209,PHELD,DAPHNE,MST_FYN,31/08/2018,Arkona_DMU444,,55.000833,13.296167,47.0,1.0,1500,yes,24.0,,,13:36,13:58,13:59,31/08/2018,18.2,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,144,1,20180831,1,20180831-1,20180831-1.1
,MST232,PHELD,DAPHNE,MST_FYN,31/08/2018,Arkona_DMU444,,55.000833,13.296167,47.0,1.0,1500,yes,24.0,,,13:36,14:14,14:15,31/08/2018,18.2,yes,yes,zooplankton_fytoplankton,yes,yes,,2017,proevetagning_DAPHNA_2018_KBH431_DMU4444_VSJ20925,145,2,20180831,1,20180831-1,20180831-1.2
